#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289512227469515,-10.000048,-2.8256576,0.07133703,-0.08782108,2977.1953,771.8645,0.023679276928305626
289512248899429,-10.000051,-2.814195,0.07069808,-0.089675404,2980.0518,768.10175,0.021450579166412354
289512272917467,-10.000049,-2.800538,0.06975676,-0.09242474,2982.843,764.179,0.024001827463507652
289512293705517,-10.000048,-2.788675,0.06668801,-0.0941569,2985.3792,760.2642,0.020769815891981125
289512318587072,-10.000048,-2.7780488,0.057743818,-0.09478567,2988.631,754.3437,0.024883175268769264
289512338801740,-10.000049,-2.7704456,0.051974192,-0.094346575,2990.3926,750.7131,0.02023857645690441
289512359676101,-10.000049,-2.7609973,0.04823073,-0.09506113,2991.328,748.52277,0.020869091153144836
289512380643663,-10.000048,-2.754369,0.04522705,-0.0940958,2993.0364,744.90485,0.020986201241612434
289512401257470,-10.000047,-2.7422748,0.04405205,-0.0952956,2995.8506,738.99225,0.020597191527485847
289512421667047,-10.000048,-2.735521,0.043613464,-0.09460073,2996.8267,736.962,0.02041727676987648
289512442735103,-10.000048,-2.7248385,0.042723898,-0.09545487,2998.5005,733.2019,0.020999573171138763
289512463305551,-10.000048,-2.7279842,0.039341908,-0.08982541,2999.754,730.3369,0.020635688677430153
289512483784826,-10.000047,-2.6880546,0.043906525,-0.104374684,3002.1694,724.5299,0.020490216091275215
289512504678233,-10.000046,-2.6700406,0.044576,-0.10829678,3003.374,721.5621,0.0208804402500391
289512526162851,-10.000047,-2.6438215,0.046510253,-0.11497605,3006.5608,713.7958,0.021463951095938683
289512546757208,-10.000046,-2.631375,0.046769526,-0.115326956,3008.475,709.1916,0.020629610866308212
289512567651425,-10.000046,-2.6167533,0.048220865,-0.11699444,3009.7112,706.3458,0.02089543268084526
289512588670044,-10.000046,-2.6019115,0.04932879,-0.11830237,3011.7207,701.64545,0.02100524865090847
289512611398680,-10.000046,-2.5762577,0.05393339,-0.123975866,3015.37,693.4454,0.022733498364686966
289512632031937,-10.000044,-2.561015,0.055313382,-0.12495611,3017.6587,688.3697,0.020640145987272263
289512652697207,-10.000044,-2.5444074,0.057118237,-0.1268707,3019.1055,685.2561,0.020643791183829308
289512674211406,-10.000045,-2.5292778,0.05846668,-0.12756892,3021.5002,680.11096,0.02109682559967041
289512693835267,-10.000044,-2.508774,0.061914664,-0.13011962,3025.5596,671.7003,0.020055418834090233
289512715165093,-10.0,-2.4910352,0.06412875,-0.13225798,3027.123,668.5828,0.02131807431578636
289512735924778,-10.000043,-2.4738863,0.066089235,-0.13338315,3029.848,663.17786,0.02063204161822796
289512757011474,-10.000043,-2.4542327,0.06891197,-0.13563114,3032.7878,657.5102,0.021232571452856064
289512781079758,-10.000042,-2.435612,0.07279326,-0.13664523,3037.5295,648.7726,0.02405693754553795
289512801715851,-10.000042,-2.4187706,0.07508015,-0.13772805,3039.39,645.49835,0.02064581960439682
289512822708536,-10.000042,-2.4041307,0.07703906,-0.13727555,3042.5105,640.0895,0.020981743931770325
289512844168842,-10.000042,-2.3864346,0.079953335,-0.13867974,3044.4397,636.9173,0.021137751638889313
289512864526552,-10.00004,-2.3586807,0.086394936,-0.14324757,3051.3022,625.6529,0.020681478083133698
289512884697861,-10.000041,-2.3261783,0.08729822,-0.15105881,3053.5781,621.25507,0.02016928419470787
289512904814872,-10.00004,-2.2488616,0.09432332,-0.17873254,3058.4126,611.1821,0.02013038471341133
289512925798237,-10.000037,-2.1716352,0.10096874,-0.20535278,3061.9937,603.20276,0.020977692678570747
