#Sumatra CSVExporter
#Sat Jun 18 11:42:37 CEST 2011
time,setx,sety,setv,actx,acty,actv
243811380604762,0.0,0.5,0,-2.5239398E-4,-0.0036359902,1.6846484
243811382291681,0.0,0.5,0,-2.4999795E-4,-0.003636156,1.6847379
243811407708123,0.0,0.5,0,-2.018786E-4,-0.0033216402,1.6884583
243811438011890,0.0,0.5,0,-6.6025794E-5,-0.0016494937,1.6854169
243811449092961,0.0,0.5,0,-5.5738186E-5,-0.0016498734,1.6859531
243811461633220,0.0,0.5,0,1.2018872E-5,-2.455133E-4,1.6776407
243811471612910,0.0,0.5,0,1.3299663E-5,-2.4544727E-4,1.6773447
243811487375051,0.0,0.5,0,7.2531024E-5,0.0019225356,1.6765212
243811499006812,0.0,0.5,0,6.559068E-5,0.0019227848,1.6762841
243811514563913,0.0,0.5,0,1.9159056E-4,0.0017602545,1.6743042
243811518474259,0.0,0.5,0,1.8775633E-4,0.0017606677,1.6741045
243811540126233,0.0,0.5,0,5.280183E-4,0.0025542763,1.6798111
243811542440023,0.0,0.5,0,5.261125E-4,0.0025546695,1.679832
243811564743991,0.0,0.5,0,5.01082E-4,0.0025596968,1.6801058
243811566308940,0.0,0.5,0,5.179443E-4,0.0027215756,1.6860976
243811588426509,0.0,0.5,0,4.936721E-4,0.002726083,1.6873258
243811593409870,0.0,0.5,0,3.1247505E-4,0.0024841423,1.6890143
243811611392602,0.0,0.5,0,2.9347275E-4,0.0024864587,1.6902739
243811619037025,0.0,0.5,0,-6.918186E-4,-1.9518379E-4,1.6836193
243811634094088,0.0,0.5,0,-6.904706E-4,-1.9989976E-4,1.6837728
243811645507842,0.0,0.5,0,0.0021216632,-0.0010814143,1.6848499
243811657446758,0.0,0.5,0,0.002127322,-0.0010702399,1.68507
243811672916332,0.0,0.5,0,0.0023065764,-0.0010567683,1.6817365
243811680972456,0.0,0.5,0,0.0023107582,-0.0010475926,1.681626
243811698398014,0.0,0.5,0,0.0021455775,-0.0010011084,1.6805851
243811704127380,0.0,0.5,0,0.002148262,-9.953345E-4,1.6804711
243811725515963,0.0,0.5,0,0.0030197245,-0.0011177281,1.6764873
243811727335793,0.0,0.5,0,0.0030212237,-0.0011136683,1.6763499
243811750384956,0.0,0.5,0,0.003033061,-0.0010810137,1.6752437
243811751294263,0.0,0.5,0,0.0027650078,-0.0010315444,1.6824193
243811778068993,0.0,0.5,0,0.0027753746,-0.0010033178,1.6825519
243811778484746,0.0,0.5,0,0.0024923112,-9.3795336E-4,1.6793475
243811796634427,0.0,0.5,0,0.0025004176,-9.161235E-4,1.6789838
243811804465656,0.0,0.5,0,4.2938307E-4,-2.9479896E-4,1.6823299
243811819849324,0.0,0.5,0,4.3139642E-4,-2.9184486E-4,1.6824719
243811831428812,0.0,0.5,0,-0.002420083,0.0018639668,1.6832725
243811842776921,0.0,0.5,0,-0.002430108,0.0018508779,1.6834552
243811857919890,0.0,0.5,0,-0.0028145919,7.9998904E-4,1.6718097
